CompanyName,Industry,Headquarters,Country,City,FoundedYear,Revenue_Billions,Employees,CEO,StockSymbol,MarketCap_Billions,Website,Products,Subsidiaries,RevenueGrowth_Percent,ProfitMargin_Percent,GlobalRank,KeyMarkets,ParentCompany,InnovationIndex
Apple Inc.,Technology,Cupertino,USA,California,1976,394.3,164000,Tim Cook,AAPL,2800,apple.com,"iPhone, iPad, Mac, AirPods, Services",Beats Electronics,8,25.3,1,Worldwide,None,95
Microsoft Corporation,Technology,Redmond,USA,Washington,1975,211.9,221000,Satya Nadella,MSFT,3100,microsoft.com,"Windows, Office 365, Azure, Xbox, Surface",LinkedIn,13,36.7,2,Worldwide,None,92
Amazon.com Inc.,E-Commerce Retail,Seattle,USA,Washington,1994,574.8,1541000,Andy Jassy,AMZN,1600,amazon.com,"AWS, Prime, Alexa, Kindle, E-commerce",Whole Foods,11,2.4,3,Worldwide,None,88
Alphabet Inc.,Technology,Mountain View,USA,California,1998,307.4,190234,Sundar Pichai,GOOGL,1800,google.com,"Google Search, Android, YouTube, Chrome, Cloud",Nest Labs,13,21.2,4,Worldwide,None,94
Samsung Electronics,Electronics,Seoul,South Korea,Suwon,1938,244.3,267000,Kyung Kye-hyun,005930,280,samsung.com,"Smartphones, TVs, Semiconductors, Appliances",Harman,9,12.5,5,Worldwide,Samsung Group,89
Tesla Inc.,Automotive,Austin,USA,Texas,2003,96.8,140000,Elon Musk,TSLA,800,tesla.com,"Electric Vehicles, Solar Panels, Energy Storage",SolarCity,51,10.8,6,Worldwide,None,91
Meta Platforms,Technology,Menlo Park,USA,California,2004,134.9,86482,Mark Zuckerberg,META,1200,meta.com,"Facebook, Instagram, WhatsApp, VR/AR",Oculus,23,29.6,7,Worldwide,None,86
NVIDIA Corporation,Semiconductors,Santa Clara,USA,California,1993,60.9,29600,Jensen Huang,NVDA,1800,nvidia.com,"GPUs, AI Chips, Gaming, Data Center",Mellanox,126,46.9,8,Worldwide,None,96
Intel Corporation,Semiconductors,Santa Clara,USA,California,1968,79.0,131900,Pat Gelsinger,INTC,200,intel.com,"Processors, Chips, Data Center, AI",Mobileye,14,3.2,9,Worldwide,None,85
Sony Corporation,Electronics Entertainment,Tokyo,Japan,Minato,1946,91.4,112700,Kenichiro Yoshida,SNE,110,sony.com,"PlayStation, Cameras, TVs, Music, Movies",Sony Pictures,13,8.5,10,Worldwide,None,87
Toyota Motor Corporation,Automotive,Toyota,Japan,Aichi,1937,279.4,372817,Koji Sato,TM,250,toyota.com,"Cars, Trucks, Hybrid Vehicles, Lexus",Daihatsu,18,7.8,11,Worldwide,None,82
